smiles,prediction,hit_id,cd_formula,cd_molweight,Cluster,MurckoScaffold,Index,Score,source_file
CCN1CCC[C@@H](CN(C)Cc2cc(ccc2F)C#N)[C@@H]1c1cnn(C)c1,0.99799562,TITAN102637800,C21H28FN5,369.488,99269,c1ccc(CNC[C@@H]2CCCN[C@H]2c2cn[nH]c2)cc1,299990,1.0,split_009_merged_output.csv
CCc1cccc(NC(=O)NC2CCN(CC2)c2nc3cccnc3n(Cc3ccc(C)cc3)c2=O)c1,0.99793231,TITAN103682619,C29H32N6O2,496.615,138265,O=C(Nc1ccccc1)NC1CCN(c2nc3cccnc3n(Cc3ccccc3)c2=O)CC1,72847,0.99,split_013_merged_output.csv
Cn1nc(CN2CCC(CC2)N2CCSCC2)c2c(Cl)cccc12,0.99790609,TITAN107642255,C18H25ClN4S,364.94,2811454,c1ccc2c(CN3CCC(N4CCSCC4)CC3)n[nH]c2c1,142336,0.99,split_016_merged_output.csv
CCc1ccc(NC(=O)CSc2nc3ccsc3c(=O)n2-c2ccccc2)cc1,0.99790394,TITAN105238148,C22H19N3O2S2,421.53,39056,O=C(CSc1nc2ccsc2c(=O)n1-c1ccccc1)Nc1ccccc1,461751,0.99,split_014_merged_output.csv
CCCNC(=O)c1ccc2c(c1)nc(SCc1ccccc1)n(-c1cccc(F)c1)c2=O,0.9976635,TITAN101832399,C25H22FN3O2S,447.53,86358,O=c1c2ccccc2nc(SCc2ccccc2)n1-c1ccccc1,412203,0.99,split_021_merged_output.csv
[H][C@@]12CN(C[C@@]([H])(C1)[C@]1([H])CCC[C@@H](N1C2)c1cc(F)cc(F)c1)c1nc(C)nc2oc(C)nc12,0.9976567,TITAN214976684,C24H27F2N5O,439.511,2448878,c1ccc([C@H]2CCC[C@H]3[C@@H]4C[C@@H](CN(c5ncnc6ocnc56)C4)CN23)cc1,396077,1.0,split_013_merged_output.csv
CSc1ncc(C(=O)Nc2cccc3cccnc23)n1-c1ccc(F)cc1,0.99756157,TITAN102049510,C20H15FN4OS,378.43,674606,O=C(Nc1cccc2cccnc12)c1cncn1-c1ccccc1,304044,0.99,split_020_merged_output.csv
Cn1nc(CN2CCc3[nH]nc(C4CCCC4)c3C2)c2c(Cl)cccc12,0.99753284,TITAN104227748,C20H24ClN5,369.9,2811536,c1ccc2c(CN3CCc4[nH]nc(C5CCCC5)c4C3)n[nH]c2c1,142903,0.99,split_016_merged_output.csv
CCCC1CCCN(CC1)C1CCN(C1=O)c1ccc(cc1)C#N,0.99748021,TITAN104995035,C20H27N3O,325.456,1069254,O=C1C(N2CCCCCC2)CCN1c1ccccc1,1612,0.99,split_011_merged_output.csv
CN(Cc1cnc(nc1)C1CCCCC1)Cc1ccc2CN(C)Cc2c1,0.99747342,TITAN101984753,C22H30N4,350.51,3383055,c1cc2c(cc1CNCc1cnc(C3CCCCC3)nc1)CNC2,79983,1.0,split_021_merged_output.csv
COc1ccc(CN2CCN(Cc3cnc(SC)nc3)CC2CCO)c(F)c1,0.9973973,TITAN104537751,C20H27FN4O2S,406.52,37931,c1ccc(CN2CCN(Cc3cncnc3)CC2)cc1,7401,0.99,split_011_merged_output.csv
CN(C)c1nc2CCN(Cc3nc(nn3C)C3CC3)Cc2s1,0.99734771,TITAN217184459,C15H22N6S,318.44,2555555,c1nc2c(s1)CN(Cc1nc(C3CC3)n[nH]1)CC2,352088,1.0,split_014_merged_output.csv
CCc1nc2cc(NC(=O)C(N3CCCC3)c3cccnc3)ccc2n1CC,0.99730504,TITAN101052065,C22H27N5O,377.492,2146738,O=C(Nc1ccc2[nH]cnc2c1)C(c1cccnc1)N1CCCC1,479838,1.0,split_011_merged_output.csv
CCCc1nnc(S)n1CC(=O)Nc1ccc2n(CC)c3ccccc3c2c1,0.99724019,TITAN103580648,C21H23N5OS,393.51,564764,O=C(Cn1cnnc1)Nc1ccc2[nH]c3ccccc3c2c1,106760,0.99,split_003_merged_output.csv
CN(C)c1ccc(nn1)C1CCCN1Cc1nnnn1C1CC1,0.99704832,TITAN102606279,C15H22N8,314.397,1692660,c1cnnc(C2CCCN2Cc2nnnn2C2CC2)c1,268931,0.99,split_014_merged_output.csv
Cn1cc(CNC(c2nnnn2Cc2ccccc2Br)C2(C)CCC2)c(n1)C(F)(F)F,0.99697006,TITAN214006679,C20H23BrF3N7,498.352,3331078,c1ccc(Cn2nnnc2C(NCc2cn[nH]c2)C2CCC2)cc1,405267,0.99,split_020_merged_output.csv
Cc1ccc(cc1)-n1nc(C(=O)NCc2ccccn2)c(=O)n(Cc2cccc(c2)C(F)(F)F)c1=O,0.99695051,TITAN107022832,C25H20F3N5O3,495.462,109251,O=C(NCc1ccccn1)c1nn(-c2ccccc2)c(=O)n(Cc2ccccc2)c1=O,73654,0.99,split_010_merged_output.csv
CC(C)c1ocnc1CN1CCN(CC1)c1nc(nc(C)c1F)C1CC1,0.9966768,TITAN211953138,C19H26FN5O,359.449,2600143,c1cc(N2CCN(Cc3cocn3)CC2)nc(C2CC2)n1,214590,1.0,split_017_merged_output.csv
CCc1ccc(cc1)-n1nnc(C(=O)NCc2ccc(F)c(Cl)c2)c1-c1ccncc1,0.99667406,TITAN105470430,C23H19ClFN5O,435.89,48491,O=C(NCc1ccccc1)c1nnn(-c2ccccc2)c1-c1ccncc1,343261,0.99,split_012_merged_output.csv
CCOc1ccc(CN2CCC(CC2)[C@@H]2C[C@@H](n3ncnc3N2)C(F)(F)F)cc1OC,0.99661201,TITAN212454835,C21H28F3N5O2,439.483,1305269,c1ccc(CN2CCC([C@@H]3CCn4ncnc4N3)CC2)cc1,280162,0.99,split_012_merged_output.csv
CCn1nc(CN2CCC(CC2)NC(=O)c2ccc(F)cn2)c2COCCc12,0.99660766,TITAN103379898,C20H26FN5O2,387.459,1617619,O=C(NC1CCN(Cc2n[nH]c3c2COCC3)CC1)c1ccccn1,94642,1.0,split_019_merged_output.csv
CCc1nnc2c(nccn12)N1CC(C1)N(C)c1cc(nc(n1)C1CC1)C(F)F,0.99659675,TITAN217886106,C19H22F2N8,400.438,1162963,c1cc(NC2CN(c3nccn4cnnc34)C2)nc(C2CC2)n1,436106,1.0,split_005_merged_output.csv
CCCC(N(Cc1cc2cc(C)cc(C)c2[nH]c1=O)C1CCCCC1)c1nnnn1C1CCCC1,0.99658042,TITAN212155901,C28H40N6O,476.669,7938,O=c1[nH]c2ccccc2cc1CN(Cc1nnnn1C1CCCC1)C1CCCCC1,355726,1.0,split_008_merged_output.csv
CCn1c(Cn2ccnc2C)nnc1C1CCN(CC2[C@@H]3CNC[C@H]23)CC1,0.99652463,TITAN100608586,C20H31N7,369.517,1231351,c1cn(Cc2nnc(C3CCN(CC4[C@H]5CNC[C@@H]45)CC3)[nH]2)cn1,193237,0.99,split_020_merged_output.csv
OC1CCN(CC1)c1ccc(NC(=O)c2ccc3nnc(C4CC4)n3c2)cn1,0.99642473,TITAN218995347,C20H22N6O2,378.436,2855341,O=C(Nc1ccc(N2CCCCC2)nc1)c1ccc2nnc(C3CC3)n2c1,366329,0.99,split_016_merged_output.csv
